,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
372,1962,6.0,0.03,0.0,3126686720.0,15643.748,778102.062
373,1963,6.0,0.05,1.0,3195779328.0,15924.23,794026.25
374,1964,6.0,-0.04,5.0,3267212288.0,16305.338,810331.625
375,1965,6.0,-0.08,7.0,3337112064.0,16384.297,826715.875
376,1966,6.0,0.01,7.0,3406416896.0,16714.65,843430.562
377,1967,6.0,-0.08,3.0,3475448064.0,17168.934,860599.5
378,1968,6.0,-0.09,5.0,3546810880.0,17888.312,878487.812
379,1969,6.0,0.03,0.0,3620655360.0,18433.381,896921.188
380,1970,6.0,-0.03,0.0,3695390208.0,19497.402,916418.562
381,1971,6.0,-0.16,6.0,3770163200.0,20091.359,936509.875
382,1972,6.0,0.04,11.0,3844800768.0,20819.232,957329.188
383,1973,6.0,0.19,5.0,3920251392.0,21533.803,978862.938
384,1974,6.0,-0.05,6.0,3995516928.0,21338.432,1000201.375
385,1975,6.0,-0.01,3.0,4069437184.0,21424.682,1021626.062
386,1976,6.0,-0.12,7.0,4142505728.0,22296.721,1043922.812
387,1977,6.0,0.27,7.0,4215772416.0,22910.027,1066832.875
388,1978,6.0,-0.01,8.0,4289657600.0,23300.564,1090133.375
389,1979,6.0,0.14,6.0,4365582848.0,23677.932,1113811.375
390,1980,6.0,0.2,14.0,4444007936.0,23585.891,1137397.25
391,1981,6.0,0.29,5.0,4524627456.0,23427.91,1160825.125
392,1982,6.0,0.05,17.0,4607984640.0,23293.379,1184118.5
393,1983,6.0,0.22,10.0,4691884032.0,23811.387,1207929.875
394,1984,6.0,0.02,10.0,4775836160.0,24970.838,1232900.75
395,1985,6.0,0.15,15.0,4861730816.0,25405.865,1258306.5
396,1986,6.0,0.12,13.0,4950063104.0,25744.014,1284050.625
397,1987,6.0,0.35,10.0,5040984576.0,26386.771,1310437.375
398,1988,6.0,0.4,20.0,5132294144.0,27166.314,1337603.625
399,1989,6.0,0.15,12.0,5223704064.0,27279.248,1364882.875
400,1990,6.0,0.37,25.0,5316175872.0,27634.754,1392517.75
401,1991,6.0,0.53,19.0,5406245888.0,28002.021,1420519.625
402,1992,6.0,0.26,15.0,5492686336.0,27470.73,1447990.375
403,1993,6.0,0.23,20.0,5577433600.0,27689.318,1475679.75
404,1994,6.0,0.43,18.0,5660727808.0,28265.32,1503945.0
405,1995,6.0,0.43,25.0,5743219712.0,28746.965,1532692.0
406,1996,6.0,0.29,16.0,5825145344.0,29444.461,1562136.5
407,1997,6.0,0.54,27.0,5906481152.0,31407.445,1593544.0
408,1998,6.0,0.77,17.0,5987312640.0,29699.977,1623243.875
409,1999,6.0,0.36,25.0,6067758592.0,30221.426,1653465.375
410,2000,6.0,0.4,46.0,6148898816.0,30569.545,1684035.0
411,2001,6.0,0.52,42.0,6230747136.0,30407.066,1714442.0
412,2002,6.0,0.53,25.0,6312407552.0,31458.27,1745900.25
413,2003,6.0,0.48,21.0,6393898496.0,33304.418,1779204.625
414,2004,6.0,0.44,39.0,6475751424.0,33998.957,1813203.625
415,2005,6.0,0.64,43.0,6558176256.0,34331.27,1847534.75
416,2006,6.0,0.66,36.0,6641416192.0,35666.414,1883201.375
417,2007,6.0,0.61,34.0,6725948416.0,35943.77,1919145.125
418,2008,6.0,0.48,19.0,6811597312.0,36728.855,1955874.0
419,2009,6.0,0.64,22.0,6898306048.0,36597.754,1992471.625
420,2010,6.0,0.68,33.0,6985603072.0,38202.047,2030673.75
421,2011,6.0,0.62,29.0,7073125376.0,39451.125,2070124.875
422,2012,6.0,0.64,33.0,7161697792.0,39833.223,2109958.0
423,2013,6.0,0.69,24.0,7250593280.0,39947.32,2149905.25
424,2014,6.0,0.67,27.0,7339013632.0,40495.234,2190400.75
425,2015,6.0,0.81,30.0,7426597376.0,40944.281,2231344.75
426,2016,6.0,0.8,35.0,7513474048.0,40052.039,2271397.0
427,2017,6.0,0.71,36.0,7599822336.0,40428.684,2311825.75
428,2018,6.0,0.77,29.0,7683789824.0,41007.867,2352833.5
429,2019,6.0,0.9,44.0,7764951040.0,41639.84,2394473.25
430,2020,6.0,0.91,47.0,7840952832.0,39321.844,2433795.25
431,2021,6.0,0.84,42.0,7909295104.0,41062.895,2474858.0
432,1950,7.0,-0.08,2.0,2499322112.0,11428.435,607670.188
433,1951,7.0,-0.01,2.0,2543130368.0,11978.877,619649.062
434,1952,7.0,0.04,2.0,2590270976.0,12190.116,631839.125
